cluster_id,rank,membership_score,category,text_snippet
0,1,1.0,rec.sport.baseball,"morgan and guzman will have era's 1 run higher than last year, and the cubs will be idiots and not pitch harkey as much as hibbard. castillo won't be good (i think he's a stud pitcher)"
0,2,1.0,rec.sport.baseball,"I don't really mind the length of games either. If they want to speed the games up in sensible ways, that's fine with me too. However, what I object to is the assertion by baseball people (Whitey Herzog, Buck Rodgers are who I've heard say this) that games are too long because hitters are taking too"
0,3,1.0,rec.sport.hockey,"Perhaps it was the most exciting game played yet that YOU have seen. For most of us who watch teams around the league with interest and objectivity, it was *nowhere* *near* the most exciting game... Unfortunately, the instant replay is not used on hits. At first, I immediately thought ""5 and a game"""
0,4,1.0,rec.sport.hockey,"Exactly my point. If you'd watch games more closely, you'd see a lot of goons going after him. Ulf is one of the main reasons why less physical players for Pgh are left alone. Ulf plays rough hockey, but only when other players are putting the rush on Mario or Jagr. If you want to say anyone on the "
0,5,1.0,rec.sport.baseball,"You want to speed up ballgames? 1. Enforce the two minutes between innings. As it is, many fields are allowing THREE minutes between them. Fifteen seconds before TV commercials are gone to, Thirty or so before action begins upon the return to the game. Two minutes, last out to first pitch, or a ball"
1,1,1.0,comp.windows.x,"I am looking for a package that implements standard image processing functions (reading/writing from standard formats), clipping, zoom, etc. implemented under X. Both public domain and private packages are of interest. The particular application area I have in mind is medical imaging, but a package "
1,2,1.0,comp.os.ms-windows.misc,"Please....Apples to Apples. Nt is a beta, and as such cannot be accepted as a competitor to Win3.1-it's not on the market. Same for OS/2 2.1, for a couple or weeks...... BTW, cute sig."
1,3,1.0,comp.windows.x,"Hello everybody! Does anybody know how to implement wordwrap with use of XDrawImageString? The problem is that I don't know how many characters can be drawn in a region. Have I to calculate character for character the width of the drawn text? Thank you in advance. ,,, (o o) -------------------------"
1,4,1.0,comp.os.ms-windows.misc,"---------- cut here ---------- part 01/01 begin 644 1260wn31.exe M35KO 1D & -$,__\@ P $ ?#_'@ !0V]P>7)I9VAT(#$Y.#DM M,3DY,""!02U=!4D4@26YC+B!!;&P@4FEG:'1S(%)E<V5R=F5D+@T* M _""Z,#F\$H0( C,N!PP (.\-R RT !BT@ /J\ *.T/LM00""C<02. MP.B9 *%[!*-Y!*%]!*-W!(S BQY_!+Y_!.AM ""ZC<P2[Y &^F +H8 !0OGL$ MO^$!I:6+'GL$B"
1,5,1.0,comp.graphics,Hi!... I am searching for packages that could handle Multi-page GIF files... Are there any on some ftp servers? I'll appreciate one which works on PC (either on DOS or Windows 3.0/3.1). But any package works on Unix will be OK..
