doc_id,text_snippet,category,cluster_1,prob_1,cluster_2,prob_2,gap
2501,"I was not discussing ""universal"" definitions in this post, Mark. Please refrain from dragging in irrelevancies. Do you agree with my statement above about physicians being unqualified if they can't determine viability? And that's good enough for the law, Mark. So why do you keep whining that viabili",talk.politics.misc,2,0.5005,5,0.4991,0.0013
12418,"Don't even get hyped up. They are still accepting submissions from the members for various proposals of how to implement the standard. You don't seem to realize that while v32bis was just an extension of v32 (which took years to pass, implement, and finally sell at a reasonable price), v.fast requir",comp.sys.ibm.pc.hardware,1,0.5037,3,0.4963,0.0074
1748,"I think that you are changing the meaning of ""values"" here. Perhaps it is time to backtrack and take a look at the word. value n. 1. A fair equivalent or return for something, such as goods or service. 2. Monetary or material worth. 3. Worth as measured in usefulness or importance; merit. 4. A princ",talk.religion.misc,2,0.5054,5,0.4945,0.0109
12216,"On a few computers which we have here at Sheridan College there are files which we would like to make read only. I have used the Dos attrib command but some people, who carry around the attrib program in their pockets, have still been able to erase some of the more important files. Are there any sof",comp.sys.ibm.pc.hardware,1,0.5085,3,0.4915,0.017
6267,"I read this in an electronic ""magazine"" about NT: ""And for all the hoopla about NT, one would think the thing would be multi-user but it's not. It supports only one user at a time. It can support multiple clients but only one actual user."" Your mileage may vary! -- THIS POSTING DOES NOT REPRESENT TH",comp.os.ms-windows.misc,1,0.5105,6,0.4895,0.0211
12299,"I don't wish to rehash the PGP patent issue at all, but I do feel that some potential misconceptions in interpretting intellectual property laws need to be raised. You are correct that executing PGP would be a violation (unless the patent were declared invalid by the courts), but... there is a quest",sci.crypt,4,0.4889,6,0.4654,0.0235
11931,"HELP! I am trying to find software that will allow COM port redirection under Windows for Workgroups. Can anyone out there make a suggestion or reccommend something. I would really hate to have to write some driver for the serial port that would support the network, but that is my next step. Thanks ",comp.os.ms-windows.misc,1,0.5169,3,0.4831,0.0339
369,"Getting an image from a computer monitor to a videotape is harder than it looks. The standard VGA and EGA outputs are very different than the NTSC format used by televisions. While there is equipment that will do the conversion, it is hard to get your hands on and costs quite a bit. If you have acce",comp.graphics,3,0.5209,1,0.4791,0.0418
7323,"This is as bad as the ""Did You Know"" Japan bashing of 2 weeks ago. After finding this set of postings for the third time I hope no one shows up. I don't know why fools insist on posting to every group. It just agrevates people.",talk.politics.misc,4,0.5195,6,0.4774,0.0421
13652,"Yeah sure. Maybe thermal GUNSIGHTS on the armored vehicles. When discussing military hardware and weapons, the media generally looks like a ufology convention. CS is merely the garden variety military teargas. As far as it being ""humane and harmless"", I've seen teenage boys knock 200lb. drill sergea",talk.politics.guns,4,0.5228,2,0.4772,0.0455
14359,"According to this reasoning there are no rights, at least none that I can think of.... Let's see. Do I have a right to unpolluted air? No, because the majority drive cars and use goods that create air pollution in the manufacturing process. Do I have the right to clean water? I guess not, by the sam",sci.space,5,0.5232,4,0.4768,0.0465
